STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN,TAVG
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/9/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/10/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/11/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/12/2024,0.13,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/21/2024,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/22/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/23/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/24/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/25/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/26/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/27/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/28/2024,0.05,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/29/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,4/30/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/1/2024,0.02,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/2/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/3/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/4/2024,0.98,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/5/2024,0.51,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/7/2024,,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/8/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/9/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/10/2024,0.33,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/11/2024,0.1,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/12/2024,0.62,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,5/13/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,6/4/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,6/5/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,6/6/2024,0.44,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,6/7/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,6/9/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,6/10/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,6/11/2024,0.02,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/2/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/3/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/4/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/5/2024,0.07,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/6/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/7/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/8/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/9/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/10/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/11/2024,0.12,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,7/12/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/20/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/21/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/22/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/23/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/24/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/25/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/26/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/27/2024,0.4,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/28/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/29/2024,0,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/30/2024,0.72,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,8/31/2024,0.04,,,
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,9/1/2024,0,,,
